age,hours_per_week,marital_status,relationship,education,occupation,capital_net,income
33,50,married_civ_spouse,husband,masters,prof_specialty,0,no
30,40,never_married,not_in_family,9th,sales,0,no
43,50,never_married,not_in_family,doctorate,prof_specialty,0,yes
57,40,married_civ_spouse,husband,assoc_voc,prof_specialty,0,no
37,40,divorced,unmarried,some_college,craft_repair,0,no
34,40,married_civ_spouse,husband,bachelors,protective_serv,0,yes
29,50,never_married,not_in_family,some_college,handlers_cleaners,0,no
37,48,married_civ_spouse,husband,some_college,sales,0,yes
48,40,divorced,unmarried,assoc_acdm,exec_managerial,0,no
32,40,never_married,own_child,hs_grad,other_service,0,no
47,50,never_married,not_in_family,masters,prof_specialty,0,no
20,40,never_married,own_child,some_college,tech_support,0,no
29,40,never_married,not_in_family,hs_grad,craft_repair,0,no
30,40,never_married,own_child,11th,handlers_cleaners,0,no
31,40,never_married,not_in_family,hs_grad,adm_clerical,0,no
42,40,married_civ_spouse,husband,hs_grad,handlers_cleaners,0,no
24,40,never_married,other_relative,bachelors,sales,0,no
38,40,married_civ_spouse,husband,prof_school,prof_specialty,0,yes
36,40,never_married,own_child,hs_grad,machine_op_inspct,0,no
53,50,married_civ_spouse,husband,9th,handlers_cleaners,0,no
56,50,married_civ_spouse,husband,some_college,sales,0,no
49,40,married_civ_spouse,husband,assoc_voc,craft_repair,0,yes
55,56,married_civ_spouse,husband,some_college,sales,0,no
22,41,never_married,not_in_family,hs_grad,craft_repair,0,no
21,40,never_married,own_child,some_college,other_service,0,no
40,60,married_civ_spouse,husband,bachelors,exec_managerial,0,no
30,40,never_married,own_child,bachelors,exec_managerial,0,no
29,50,married_civ_spouse,husband,bachelors,prof_specialty,0,yes
19,35,never_married,own_child,some_college,other_service,0,no
47,40,married_civ_spouse,wife,bachelors,exec_managerial,0,yes
31,40,married_civ_spouse,husband,assoc_acdm,adm_clerical,0,yes
35,40,married_civ_spouse,husband,hs_grad,transport_moving,0,no
39,40,divorced,not_in_family,some_college,craft_repair,0,no
28,60,never_married,not_in_family,assoc_acdm,sales,0,no
37,50,married_civ_spouse,husband,bachelors,sales,0,no
46,36,divorced,not_in_family,assoc_acdm,tech_support,0,no
38,40,married_civ_spouse,husband,masters,prof_specialty,0,yes
43,60,married_civ_spouse,husband,hs_grad,craft_repair,0,no
27,35,married_civ_spouse,wife,assoc_voc,adm_clerical,0,no
49,40,married_civ_spouse,husband,some_college,craft_repair,0,yes
61,40,married_civ_spouse,husband,hs_grad,craft_repair,0,no
27,40,never_married,own_child,some_college,sales,0,no
19,30,never_married,own_child,some_college,other_service,0,no
70,40,never_married,other_relative,some_college,tech_support,0,no
31,30,never_married,unmarried,hs_grad,transport_moving,0,no
43,40,divorced,not_in_family,some_college,adm_clerical,0,no
47,38,divorced,unmarried,some_college,adm_clerical,0,no
34,40,never_married,not_in_family,hs_grad,adm_clerical,0,no
33,40,never_married,other_relative,bachelors,exec_managerial,0,no
21,35,never_married,own_child,hs_grad,craft_repair,0,no
52,45,divorced,not_in_family,hs_grad,transport_moving,0,yes
48,46,married_civ_spouse,husband,hs_grad,craft_repair,0,no
23,40,never_married,not_in_family,bachelors,handlers_cleaners,0,no
29,60,divorced,not_in_family,hs_grad,craft_repair,0,no
42,50,separated,other_relative,bachelors,other_service,0,no
25,40,never_married,unmarried,hs_grad,other_service,0,no
44,40,divorced,unmarried,masters,exec_managerial,0,no
28,40,never_married,not_in_family,hs_grad,exec_managerial,0,no
45,40,married_civ_spouse,husband,masters,sales,0,yes
36,40,divorced,unmarried,some_college,other_service,0,no
39,42,never_married,not_in_family,assoc_acdm,exec_managerial,0,no
46,40,widowed,unmarried,masters,protective_serv,0,no
28,40,married_civ_spouse,husband,hs_grad,protective_serv,0,no
27,50,never_married,not_in_family,bachelors,craft_repair,0,no
28,40,married_civ_spouse,husband,bachelors,prof_specialty,0,yes
21,40,never_married,own_child,hs_grad,craft_repair,0,no
34,40,never_married,not_in_family,hs_grad,handlers_cleaners,0,no
44,38,married_civ_spouse,husband,some_college,exec_managerial,0,yes
43,40,divorced,not_in_family,some_college,adm_clerical,0,no
30,45,never_married,not_in_family,some_college,craft_repair,0,no
40,40,married_civ_spouse,husband,7th-8th,machine_op_inspct,0,yes
37,42,married_civ_spouse,husband,some_college,adm_clerical,0,yes
34,40,married_civ_spouse,husband,hs_grad,adm_clerical,0,no
41,40,divorced,not_in_family,bachelors,exec_managerial,0,no
53,50,divorced,not_in_family,bachelors,prof_specialty,0,no
31,50,married_civ_spouse,wife,masters,prof_specialty,0,no
38,28,divorced,not_in_family,some_college,machine_op_inspct,0,no
24,40,married_civ_spouse,husband,some_college,machine_op_inspct,0,no
41,40,married_civ_spouse,husband,bachelors,craft_repair,0,no
47,45,married_civ_spouse,husband,some_college,tech_support,0,no
23,40,married_civ_spouse,other_relative,5th-6th,transport_moving,0,no
36,40,divorced,not_in_family,some_college,craft_repair,0,no
24,40,never_married,not_in_family,hs_grad,sales,0,no
19,40,never_married,own_child,hs_grad,sales,0,no
51,50,married_civ_spouse,husband,bachelors,exec_managerial,0,yes
37,35,divorced,unmarried,hs_grad,adm_clerical,0,no
18,40,never_married,own_child,11th,sales,0,no
35,60,divorced,not_in_family,hs_grad,craft_repair,0,no
44,40,married_civ_spouse,husband,hs_grad,transport_moving,0,no
37,40,married_civ_spouse,husband,hs_grad,craft_repair,0,yes
35,40,never_married,not_in_family,some_college,sales,0,no
60,40,married_civ_spouse,husband,hs_grad,craft_repair,0,no
54,40,married_civ_spouse,husband,7th-8th,machine_op_inspct,0,yes
37,60,never_married,not_in_family,bachelors,exec_managerial,0,yes
50,40,divorced,not_in_family,assoc_acdm,sales,0,no
38,50,married_civ_spouse,husband,bachelors,sales,0,no
45,55,married_civ_spouse,husband,bachelors,prof_specialty,0,no
25,40,never_married,not_in_family,10th,craft_repair,0,no
31,40,married_civ_spouse,husband,some_college,handlers_cleaners,0,no
64,40,divorced,not_in_family,1st-4th,transport_moving,0,no
53,35,never_married,not_in_family,preschool,machine_op_inspct,0,no
18,40,never_married,own_child,hs_grad,sales,0,no
65,40,divorced,not_in_family,hs_grad,adm_clerical,0,no
41,38,divorced,unmarried,hs_grad,sales,0,no
25,42,never_married,not_in_family,some_college,adm_clerical,0,no
33,40,divorced,other_relative,some_college,craft_repair,0,no
28,55,never_married,not_in_family,prof_school,prof_specialty,0,yes
59,40,married_civ_spouse,husband,hs_grad,other_service,0,no
40,38,never_married,not_in_family,some_college,adm_clerical,0,no
41,50,married_civ_spouse,husband,bachelors,exec_managerial,0,yes
23,40,never_married,own_child,hs_grad,transport_moving,0,no
40,40,married_civ_spouse,husband,bachelors,prof_specialty,0,yes
24,50,married_civ_spouse,husband,assoc_acdm,protective_serv,0,no
56,35,married_civ_spouse,husband,hs_grad,adm_clerical,0,no
58,45,married_civ_spouse,husband,hs_grad,adm_clerical,0,yes
32,34,never_married,not_in_family,hs_grad,other_service,0,no
45,40,married_civ_spouse,husband,hs_grad,adm_clerical,0,no
41,40,married_civ_spouse,wife,prof_school,prof_specialty,0,yes
42,40,married_civ_spouse,wife,bachelors,adm_clerical,0,no
59,30,widowed,unmarried,10th,other_service,0,no
19,40,never_married,own_child,some_college,adm_clerical,0,no
42,40,married_civ_spouse,husband,hs_grad,farming_fishing,0,yes
20,40,never_married,own_child,hs_grad,other_service,0,no
32,30,separated,not_in_family,hs_grad,other_service,0,no
45,45,widowed,not_in_family,assoc_voc,exec_managerial,0,no
50,40,divorced,not_in_family,7th-8th,craft_repair,0,no
36,40,divorced,own_child,bachelors,prof_specialty,0,no
45,60,married_civ_spouse,husband,hs_grad,sales,0,no
26,40,married_civ_spouse,husband,11th,craft_repair,0,no
64,40,married_civ_spouse,husband,hs_grad,exec_managerial,0,yes
33,45,never_married,not_in_family,bachelors,prof_specialty,0,no
33,40,married_civ_spouse,wife,hs_grad,craft_repair,0,yes
61,40,married_civ_spouse,husband,hs_grad,exec_managerial,0,yes
27,35,never_married,own_child,masters,prof_specialty,0,no
30,40,divorced,own_child,hs_grad,prof_specialty,0,no
43,40,married_civ_spouse,husband,hs_grad,handlers_cleaners,0,no
35,40,never_married,not_in_family,some_college,exec_managerial,0,no
25,40,never_married,own_child,some_college,tech_support,0,no
34,45,divorced,unmarried,assoc_acdm,sales,0,no
60,42,divorced,not_in_family,bachelors,prof_specialty,0,no
21,40,never_married,own_child,hs_grad,handlers_cleaners,0,no
41,60,married_civ_spouse,husband,prof_school,prof_specialty,0,yes
50,45,divorced,not_in_family,some_college,other_service,0,no
25,40,never_married,not_in_family,bachelors,exec_managerial,0,no
50,40,married_civ_spouse,husband,7th-8th,craft_repair,0,no
36,45,married_civ_spouse,husband,bachelors,prof_specialty,0,no
31,40,divorced,not_in_family,hs_grad,prof_specialty,0,no
29,56,never_married,not_in_family,bachelors,protective_serv,0,no
21,45,never_married,own_child,some_college,sales,0,no
27,40,never_married,unmarried,bachelors,tech_support,0,no
37,60,divorced,not_in_family,bachelors,sales,0,no
24,40,never_married,own_child,hs_grad,craft_repair,0,no
31,45,married_civ_spouse,husband,hs_grad,transport_moving,0,yes
24,40,married_civ_spouse,wife,some_college,adm_clerical,0,no
43,40,divorced,not_in_family,hs_grad,adm_clerical,0,no
26,45,never_married,not_in_family,assoc_acdm,tech_support,0,no
46,33,never_married,not_in_family,assoc_acdm,prof_specialty,0,no
35,40,married_civ_spouse,husband,assoc_acdm,adm_clerical,0,yes
41,54,married_civ_spouse,husband,some_college,farming_fishing,0,yes
26,40,never_married,not_in_family,bachelors,sales,0,no
36,40,divorced,not_in_family,bachelors,prof_specialty,0,yes
24,40,never_married,not_in_family,some_college,machine_op_inspct,0,no
22,40,married_civ_spouse,other_relative,5th-6th,machine_op_inspct,0,no
29,40,never_married,not_in_family,some_college,tech_support,0,no
39,40,married_civ_spouse,husband,hs_grad,exec_managerial,0,no
35,45,divorced,not_in_family,hs_grad,transport_moving,0,no
29,40,never_married,not_in_family,11th,exec_managerial,0,no
63,45,married_civ_spouse,husband,hs_grad,farming_fishing,0,no
58,40,married_civ_spouse,husband,hs_grad,handlers_cleaners,0,no
41,45,never_married,not_in_family,some_college,craft_repair,0,no
26,40,never_married,not_in_family,bachelors,adm_clerical,0,no
47,40,never_married,not_in_family,assoc_voc,other_service,0,no
55,40,married_civ_spouse,husband,10th,adm_clerical,0,no
53,40,married_civ_spouse,husband,hs_grad,transport_moving,0,no
17,48,never_married,other_relative,5th-6th,other_service,0,no
30,40,never_married,other_relative,hs_grad,craft_repair,0,no
49,60,never_married,not_in_family,masters,prof_specialty,0,no
19,30,never_married,unmarried,hs_grad,sales,0,no
45,40,married_civ_spouse,husband,hs_grad,other_service,0,no
26,40,never_married,not_in_family,assoc_acdm,sales,0,no
22,40,never_married,own_child,some_college,protective_serv,0,no
43,42,never_married,not_in_family,bachelors,sales,0,no
30,40,divorced,unmarried,assoc_voc,tech_support,0,no
33,40,married_civ_spouse,husband,bachelors,exec_managerial,0,yes
26,40,married_civ_spouse,husband,hs_grad,other_service,0,no
33,40,married_civ_spouse,husband,bachelors,exec_managerial,0,yes
46,30,married_civ_spouse,husband,11th,transport_moving,0,no
59,40,married_civ_spouse,husband,bachelors,prof_specialty,0,yes
38,40,married_civ_spouse,husband,hs_grad,adm_clerical,0,yes
65,40,widowed,unmarried,11th,other_service,0,no
40,40,married_civ_spouse,husband,assoc_voc,tech_support,0,yes
42,35,married_civ_spouse,wife,hs_grad,adm_clerical,0,no
26,40,married_civ_spouse,husband,9th,craft_repair,0,no
62,40,married_civ_spouse,husband,masters,prof_specialty,0,yes
43,45,married_civ_spouse,husband,bachelors,transport_moving,0,no
22,55,married_spouse_absent,not_in_family,hs_grad,sales,0,no
28,40,married_civ_spouse,husband,hs_grad,craft_repair,0,no
56,45,married_civ_spouse,husband,some_college,sales,0,no
57,45,divorced,not_in_family,bachelors,exec_managerial,0,yes
39,40,divorced,unmarried,hs_grad,sales,0,no
40,38,married_civ_spouse,husband,assoc_voc,machine_op_inspct,0,yes
45,40,married_civ_spouse,husband,hs_grad,machine_op_inspct,0,no
44,40,never_married,not_in_family,hs_grad,craft_repair,0,no
33,40,married_civ_spouse,wife,hs_grad,craft_repair,0,no
23,40,never_married,not_in_family,some_college,sales,0,no
46,30,divorced,not_in_family,masters,exec_managerial,0,no
38,50,married_civ_spouse,husband,hs_grad,sales,0,no
54,40,divorced,not_in_family,hs_grad,transport_moving,0,no
25,40,married_civ_spouse,husband,some_college,craft_repair,0,no
46,40,divorced,not_in_family,some_college,sales,0,no
36,40,married_civ_spouse,wife,some_college,transport_moving,0,no
29,40,separated,not_in_family,hs_grad,machine_op_inspct,0,no
19,40,never_married,other_relative,hs_grad,other_service,0,no
35,40,married_civ_spouse,wife,hs_grad,other_service,0,yes
27,50,never_married,not_in_family,bachelors,craft_repair,0,no
46,40,separated,not_in_family,assoc_acdm,craft_repair,0,no
34,35,never_married,not_in_family,hs_grad,other_service,0,no
44,40,married_civ_spouse,husband,some_college,tech_support,0,no
45,40,divorced,unmarried,some_college,handlers_cleaners,0,no
20,35,never_married,other_relative,hs_grad,other_service,0,no
25,55,married_civ_spouse,husband,bachelors,exec_managerial,0,yes
52,50,married_civ_spouse,husband,bachelors,exec_managerial,0,yes
20,40,never_married,own_child,some_college,handlers_cleaners,0,no
28,40,never_married,not_in_family,some_college,other_service,0,no
50,40,married_civ_spouse,husband,bachelors,protective_serv,0,yes
28,40,married_civ_spouse,husband,hs_grad,adm_clerical,0,no
32,50,married_civ_spouse,husband,some_college,exec_managerial,0,no
24,40,never_married,unmarried,hs_grad,handlers_cleaners,0,no
33,40,divorced,unmarried,some_college,exec_managerial,0,no
31,40,married_civ_spouse,husband,some_college,machine_op_inspct,0,no
35,50,divorced,not_in_family,12th,craft_repair,0,yes
52,40,married_civ_spouse,husband,1st-4th,machine_op_inspct,0,no
34,40,separated,not_in_family,11th,machine_op_inspct,0,no
34,40,divorced,unmarried,hs_grad,transport_moving,0,no
20,30,married_civ_spouse,husband,some_college,sales,0,no
32,40,married_civ_spouse,wife,bachelors,exec_managerial,0,yes
29,40,divorced,not_in_family,hs_grad,farming_fishing,0,no
33,35,never_married,unmarried,10th,craft_repair,0,no
25,60,married_civ_spouse,husband,hs_grad,transport_moving,0,no
63,40,married_civ_spouse,husband,hs_grad,exec_managerial,0,yes
47,40,married_civ_spouse,husband,masters,prof_specialty,0,no
17,40,never_married,own_child,11th,handlers_cleaners,0,no
33,50,married_civ_spouse,husband,masters,prof_specialty,0,yes
34,40,never_married,not_in_family,some_college,protective_serv,0,no
23,40,married_civ_spouse,husband,some_college,adm_clerical,0,no
42,40,married_civ_spouse,wife,some_college,adm_clerical,0,no
29,40,never_married,not_in_family,bachelors,prof_specialty,0,no
45,28,divorced,not_in_family,hs_grad,adm_clerical,0,no
24,40,never_married,own_child,hs_grad,armed_forces,0,no
44,40,married_civ_spouse,husband,some_college,prof_specialty,0,yes
27,40,never_married,other_relative,9th,craft_repair,0,no
20,35,never_married,not_in_family,some_college,sales,0,no
44,40,widowed,unmarried,hs_grad,exec_managerial,0,no
51,40,married_civ_spouse,husband,hs_grad,craft_repair,0,no
20,40,married_civ_spouse,husband,hs_grad,machine_op_inspct,0,no
19,40,never_married,own_child,hs_grad,machine_op_inspct,0,no
45,55,married_civ_spouse,husband,some_college,craft_repair,0,yes
60,40,married_civ_spouse,husband,hs_grad,craft_repair,0,yes
42,40,married_civ_spouse,husband,assoc_acdm,exec_managerial,0,yes
44,40,married_civ_spouse,wife,hs_grad,sales,0,yes
40,40,married_civ_spouse,husband,assoc_voc,machine_op_inspct,0,yes
30,40,married_civ_spouse,wife,hs_grad,exec_managerial,0,no
38,50,married_civ_spouse,husband,some_college,transport_moving,0,no
23,60,married_civ_spouse,husband,hs_grad,transport_moving,0,no
32,40,married_civ_spouse,husband,some_college,tech_support,0,no
44,40,never_married,own_child,assoc_acdm,farming_fishing,0,no
54,40,married_civ_spouse,husband,hs_grad,transport_moving,0,no
32,50,married_civ_spouse,husband,bachelors,prof_specialty,0,no
50,40,married_spouse_absent,unmarried,1st-4th,craft_repair,0,no
37,60,married_civ_spouse,wife,hs_grad,adm_clerical,0,no
52,40,divorced,unmarried,hs_grad,transport_moving,0,no
38,40,married_civ_spouse,husband,some_college,transport_moving,0,no
60,40,never_married,unmarried,some_college,prof_specialty,0,yes
22,40,never_married,own_child,some_college,other_service,0,no
35,40,never_married,not_in_family,hs_grad,craft_repair,0,no
30,60,never_married,not_in_family,hs_grad,transport_moving,0,no
46,40,never_married,not_in_family,bachelors,craft_repair,0,no
22,30,never_married,own_child,some_college,handlers_cleaners,0,no
27,40,never_married,not_in_family,10th,other_service,0,no
23,35,never_married,unmarried,hs_grad,other_service,0,no
33,45,married_civ_spouse,husband,assoc_acdm,craft_repair,0,no
41,40,married_spouse_absent,unmarried,hs_grad,craft_repair,0,no
63,35,married_civ_spouse,husband,1st-4th,sales,0,no
59,45,married_civ_spouse,husband,hs_grad,transport_moving,0,no
45,40,divorced,unmarried,bachelors,prof_specialty,0,no
40,35,never_married,not_in_family,hs_grad,other_service,0,no
46,40,divorced,not_in_family,hs_grad,adm_clerical,0,no
35,60,never_married,not_in_family,assoc_acdm,exec_managerial,0,no
41,36,divorced,unmarried,hs_grad,adm_clerical,0,no
20,40,never_married,own_child,some_college,machine_op_inspct,0,no
23,40,never_married,own_child,5th-6th,other_service,0,no
26,35,never_married,not_in_family,some_college,prof_specialty,0,no
23,40,never_married,not_in_family,hs_grad,farming_fishing,0,no
62,40,married_civ_spouse,husband,hs_grad,transport_moving,0,no
52,40,married_civ_spouse,husband,some_college,adm_clerical,0,no
58,42,divorced,unmarried,some_college,other_service,0,no
25,40,never_married,not_in_family,bachelors,sales,0,no
24,40,never_married,not_in_family,bachelors,exec_managerial,0,no
43,40,married_civ_spouse,husband,some_college,exec_managerial,0,no
47,40,separated,unmarried,hs_grad,adm_clerical,0,no
39,40,divorced,unmarried,hs_grad,other_service,0,no
53,30,widowed,unmarried,5th-6th,other_service,0,no
32,45,never_married,not_in_family,assoc_voc,craft_repair,0,no
34,50,married_civ_spouse,husband,some_college,prof_specialty,0,yes
28,45,divorced,not_in_family,hs_grad,craft_repair,0,no
57,38,widowed,unmarried,assoc_voc,prof_specialty,0,no
21,35,never_married,unmarried,some_college,sales,0,no
34,50,married_civ_spouse,husband,bachelors,prof_specialty,0,yes
24,50,divorced,not_in_family,some_college,handlers_cleaners,0,no
37,45,married_civ_spouse,husband,some_college,tech_support,0,yes
44,58,divorced,unmarried,some_college,machine_op_inspct,0,yes
28,40,married_civ_spouse,wife,some_college,sales,0,no
42,40,married_civ_spouse,husband,bachelors,exec_managerial,0,yes
38,50,married_civ_spouse,husband,hs_grad,craft_repair,0,no
44,40,married_civ_spouse,husband,masters,prof_specialty,0,no
44,46,divorced,unmarried,11th,machine_op_inspct,0,no
26,40,never_married,not_in_family,hs_grad,machine_op_inspct,0,no
36,40,married_civ_spouse,husband,hs_grad,other_service,0,no
41,50,married_civ_spouse,wife,assoc_acdm,exec_managerial,0,yes
39,50,married_civ_spouse,husband,12th,tech_support,0,no
57,30,widowed,not_in_family,1st-4th,priv_house_serv,0,no
29,40,separated,not_in_family,assoc_voc,craft_repair,0,no
31,45,never_married,not_in_family,bachelors,farming_fishing,0,no
34,40,never_married,unmarried,hs_grad,other_service,0,no
44,40,married_civ_spouse,husband,some_college,transport_moving,0,no
29,40,never_married,own_child,doctorate,prof_specialty,0,no
30,40,never_married,unmarried,some_college,handlers_cleaners,0,no
27,40,never_married,not_in_family,hs_grad,transport_moving,0,no
27,50,married_civ_spouse,husband,some_college,sales,0,no
32,45,never_married,not_in_family,hs_grad,handlers_cleaners,0,no
35,40,married_civ_spouse,husband,some_college,protective_serv,0,no
21,36,never_married,own_child,hs_grad,handlers_cleaners,0,no
28,40,never_married,unmarried,some_college,craft_repair,0,no
46,50,divorced,not_in_family,some_college,exec_managerial,0,no
36,40,separated,unmarried,hs_grad,other_service,0,no
72,40,widowed,unmarried,11th,adm_clerical,0,no
35,40,married_civ_spouse,wife,hs_grad,machine_op_inspct,0,no
33,40,divorced,unmarried,assoc_voc,craft_repair,0,yes
69,40,never_married,not_in_family,11th,machine_op_inspct,0,no
35,40,married_civ_spouse,husband,hs_grad,machine_op_inspct,0,no
34,32,married_civ_spouse,wife,hs_grad,tech_support,0,no
30,40,married_civ_spouse,husband,11th,other_service,0,no
28,55,never_married,not_in_family,bachelors,transport_moving,0,no
54,35,married_civ_spouse,husband,bachelors,sales,0,yes
47,50,married_civ_spouse,husband,some_college,prof_specialty,0,yes
24,40,never_married,unmarried,hs_grad,handlers_cleaners,0,no
52,60,married_civ_spouse,husband,bachelors,prof_specialty,0,yes
20,48,never_married,own_child,hs_grad,handlers_cleaners,0,no
45,40,separated,unmarried,7th-8th,other_service,0,no
29,35,separated,not_in_family,hs_grad,craft_repair,0,no
47,42,divorced,unmarried,masters,exec_managerial,0,no
24,40,never_married,own_child,hs_grad,craft_repair,0,no
51,40,married_civ_spouse,husband,hs_grad,prof_specialty,0,no
29,40,married_civ_spouse,wife,bachelors,exec_managerial,0,yes
36,35,divorced,unmarried,assoc_acdm,sales,0,no
58,40,never_married,not_in_family,bachelors,prof_specialty,0,no
26,45,married_civ_spouse,husband,some_college,craft_repair,0,no
65,30,married_civ_spouse,husband,some_college,sales,0,yes
57,40,married_civ_spouse,husband,hs_grad,sales,0,yes
59,40,married_civ_spouse,husband,hs_grad,craft_repair,0,no
27,40,married_civ_spouse,husband,hs_grad,machine_op_inspct,0,no
31,40,never_married,not_in_family,bachelors,tech_support,0,no
29,60,never_married,not_in_family,some_college,adm_clerical,0,no
18,40,never_married,own_child,11th,other_service,0,no
42,40,married_civ_spouse,husband,hs_grad,protective_serv,0,no
55,40,married_civ_spouse,wife,hs_grad,adm_clerical,0,no
60,48,never_married,not_in_family,7th-8th,transport_moving,0,yes
23,40,never_married,own_child,bachelors,adm_clerical,0,no
27,40,never_married,own_child,hs_grad,sales,0,no
49,45,never_married,not_in_family,bachelors,prof_specialty,0,no
32,40,never_married,not_in_family,bachelors,tech_support,0,no
19,28,never_married,own_child,some_college,adm_clerical,0,no
60,40,divorced,not_in_family,7th-8th,other_service,0,no
42,40,married_civ_spouse,husband,9th,other_service,0,no
35,40,never_married,not_in_family,assoc_acdm,farming_fishing,0,no
48,37,never_married,unmarried,hs_grad,adm_clerical,0,no
51,40,married_civ_spouse,husband,masters,craft_repair,0,yes
29,40,never_married,not_in_family,hs_grad,craft_repair,0,no
36,40,separated,not_in_family,hs_grad,exec_managerial,0,no
24,40,never_married,not_in_family,hs_grad,craft_repair,0,no
24,50,married_civ_spouse,husband,hs_grad,handlers_cleaners,0,no
39,60,never_married,own_child,hs_grad,handlers_cleaners,0,no
30,45,married_civ_spouse,husband,hs_grad,transport_moving,0,no
50,32,married_civ_spouse,husband,hs_grad,exec_managerial,0,no
52,55,married_civ_spouse,husband,bachelors,sales,0,no
29,55,married_civ_spouse,husband,assoc_voc,transport_moving,0,no
47,40,married_spouse_absent,unmarried,9th,handlers_cleaners,0,no
30,60,never_married,own_child,hs_grad,farming_fishing,0,no
34,45,married_civ_spouse,husband,hs_grad,sales,0,yes
33,40,married_civ_spouse,husband,some_college,exec_managerial,0,yes
47,40,never_married,unmarried,some_college,other_service,0,no
49,40,separated,unmarried,10th,other_service,0,no
30,40,married_civ_spouse,wife,bachelors,adm_clerical,0,yes
58,60,married_civ_spouse,husband,hs_grad,craft_repair,0,no
21,40,never_married,not_in_family,bachelors,handlers_cleaners,0,no
47,50,married_civ_spouse,husband,5th-6th,transport_moving,0,no
